,Thousands of Passengers,1st_diff,2nd_diff,Seasonality,Forecast
1954-09-01,259,-34.0,-25.0,22.0,
1954-10-01,229,-30.0,4.0,18.0,
1954-11-01,203,-26.0,4.0,23.0,
1954-12-01,229,26.0,52.0,28.0,
1955-01-01,242,13.0,-13.0,38.0,
1955-02-01,233,-9.0,-22.0,45.0,
1955-03-01,267,34.0,43.0,32.0,
1955-04-01,269,2.0,-32.0,42.0,
1955-05-01,270,1.0,-1.0,36.0,
1955-06-01,315,45.0,44.0,51.0,
1955-07-01,364,49.0,4.0,62.0,
1955-08-01,347,-17.0,-66.0,54.0,
1955-09-01,312,-35.0,-18.0,53.0,
1955-10-01,274,-38.0,-3.0,45.0,
1955-11-01,237,-37.0,1.0,34.0,
1955-12-01,278,41.0,78.0,49.0,
1956-01-01,284,6.0,-35.0,42.0,
1956-02-01,277,-7.0,-13.0,44.0,
1956-03-01,317,40.0,47.0,50.0,
1956-04-01,313,-4.0,-44.0,44.0,
1956-05-01,318,5.0,9.0,48.0,
1956-06-01,374,56.0,51.0,59.0,
1956-07-01,413,39.0,-17.0,49.0,
1956-08-01,405,-8.0,-47.0,58.0,
1956-09-01,355,-50.0,-42.0,43.0,
1956-10-01,306,-49.0,1.0,32.0,
1956-11-01,271,-35.0,14.0,34.0,
1956-12-01,306,35.0,70.0,28.0,
1957-01-01,315,9.0,-26.0,31.0,
1957-02-01,301,-14.0,-23.0,24.0,
1957-03-01,356,55.0,69.0,39.0,
1957-04-01,348,-8.0,-63.0,35.0,
1957-05-01,355,7.0,15.0,37.0,
1957-06-01,422,67.0,60.0,48.0,
1957-07-01,465,43.0,-24.0,52.0,
1957-08-01,467,2.0,-41.0,62.0,
1957-09-01,404,-63.0,-65.0,49.0,
1957-10-01,347,-57.0,6.0,41.0,
1957-11-01,305,-42.0,15.0,34.0,
1957-12-01,336,31.0,73.0,30.0,
1958-01-01,340,4.0,-27.0,25.0,
1958-02-01,318,-22.0,-26.0,17.0,
1958-03-01,362,44.0,66.0,6.0,
1958-04-01,348,-14.0,-58.0,0.0,
1958-05-01,363,15.0,29.0,8.0,
1958-06-01,435,72.0,57.0,13.0,
1958-07-01,491,56.0,-16.0,26.0,
1958-08-01,505,14.0,-42.0,38.0,
1958-09-01,404,-101.0,-115.0,0.0,
1958-10-01,359,-45.0,56.0,12.0,
1958-11-01,310,-49.0,-4.0,5.0,
1958-12-01,337,27.0,76.0,1.0,
1959-01-01,360,23.0,-4.0,20.0,
1959-02-01,342,-18.0,-41.0,24.0,
1959-03-01,406,64.0,82.0,44.0,
1959-04-01,396,-10.0,-74.0,48.0,
1959-05-01,420,24.0,34.0,57.0,
1959-06-01,472,52.0,28.0,37.0,
1959-07-01,548,76.0,24.0,57.0,
1959-08-01,559,11.0,-65.0,54.0,
1959-09-01,463,-96.0,-107.0,59.0,
1959-10-01,407,-56.0,40.0,48.0,
1959-11-01,362,-45.0,11.0,52.0,
1959-12-01,405,43.0,88.0,68.0,
1960-01-01,417,12.0,-31.0,57.0,
1960-02-01,391,-26.0,-38.0,49.0,
1960-03-01,419,28.0,54.0,13.0,
1960-04-01,461,42.0,14.0,65.0,
1960-05-01,472,11.0,-31.0,52.0,
1960-06-01,535,63.0,52.0,63.0,
1960-07-01,622,87.0,24.0,74.0,
1960-08-01,606,-16.0,-103.0,47.0,
1960-09-01,508,-98.0,-82.0,45.0,
1960-10-01,461,-47.0,51.0,54.0,
1960-11-01,390,-71.0,-24.0,28.0,
1960-12-01,432,42.0,113.0,27.0,
1961-01-01,,,,,
1961-02-01,,,,,422.7340989997449
1961-03-01,,,,,457.70089535018326
1961-04-01,,,,,492.2775057584232
1961-05-01,,,,,505.56336638166806
1961-06-01,,,,,565.6717826042363
1961-07-01,,,,,651.9864047498193
1961-08-01,,,,,639.6342430355213
1961-09-01,,,,,543.0588457811125
1961-10-01,,,,,493.7270261554897
1961-11-01,,,,,426.9380016168452
1961-12-01,,,,,470.1356092594442
1962-01-01,,,,,483.70043270261016
1962-02-01,,,,,458.3632435874524
1962-03-01,,,,,489.53149675103
1962-04-01,,,,,528.1600934680818
1962-05-01,,,,,540.1981424088143
1962-06-01,,,,,601.8853179800681
1962-07-01,,,,,688.5741761355972
1962-08-01,,,,,674.2302662235265
1962-09-01,,,,,576.8770268801156
1962-10-01,,,,,528.8183965993054
1962-11-01,,,,,459.7301505862893
1962-12-01,,,,,502.2738562231454
1963-01-01,,,,,516.7438482196502
1963-02-01,,,,,491.87003747404856
1963-03-01,,,,,525.1123213001404
1963-04-01,,,,,561.5285056699371
1963-05-01,,,,,574.2478683573196
1963-06-01,,,,,635.0730304837738
1963-07-01,,,,,721.557553208213
1963-08-01,,,,,708.3011514882946
1963-09-01,,,,,611.3726192664651
1963-10-01,,,,,562.6188188611417
1963-11-01,,,,,494.78596356053987
1963-12-01,,,,,537.6867041824938
1964-01-01,,,,,551.6624679336131
1964-02-01,,,,,526.535649416486
1964-03-01,,,,,558.6454982596911
1964-04-01,,,,,596.269674962429
1964-05-01,,,,,608.6170356659582
1964-06-01,,,,,669.9128630522144
1964-07-01,,,,,756.5089543250806
1964-08-01,,,,,742.6587656649652
1964-09-01,,,,,645.4983404385371
1964-10-01,,,,,597.1241076945239
1964-11-01,,,,,528.605800444911
1964-12-01,,,,,571.3115975134514
1965-01-01,,,,,585.5572132801271
1965-02-01,,,,,560.5685387435091
1965-03-01,,,,,593.2967048631382
1965-04-01,,,,,630.2613094575144
1965-05-01,,,,,642.8117857985472
1965-06-01,,,,,703.8506267211689
1965-07-01,,,,,790.385800800518
1965-08-01,,,,,776.8598238869373
1965-09-01,,,,,679.8260138332934
1965-10-01,,,,,631.244534539936
1965-11-01,,,,,563.1004887610803
1965-12-01,,,,,605.9127263483476
